Radar Type,Detection Type,Missile Type,Aircraft Type,Drone Type,Threat Level,Altitude,Speed,Distance From Target,Heading,Radar Signature,Detection Status,Target Class
Short-Range,Active,Surface-to-Air Missile,Drones,Hybrid Drone,Medium,13769.54,1081.66,492.07,18.39,0.06,1,Drones
Medium-Range,Active,Surface-to-Air Missile,Helicopter,Hybrid Drone,Low,10777.89,1135.02,295.83,174.17,0.28,1,Helicopter
Long-Range,Hybrid,Surface-to-Air Missile,Drones,Quadcopter,Low,9649.28,1273.88,239.63,51.33,0.96,0,None
Medium-Range,Hybrid,Anti-Air Missile,Passenger Aircraft,Quadcopter,Medium,8376.77,735.83,131.59,225.65,0.18,0,None
Medium-Range,Hybrid,Anti-Air Missile,Helicopter,Quadcopter,Low,6261.05,871.54,219.34,244.47,0.13,1,Quadcopter
Long-Range,Hybrid,Anti-Air Missile,Passenger Aircraft,Fixed-Wing,High,18020.53,561.07,98.96,341.94,0.08,1,Fixed-Wing
Medium-Range,Active,Surface-to-Air Missile,Bombers,Fixed-Wing,Low,15564.92,1395.4,100.05,70.47,0.05,0,None
Medium-Range,Passive,Anti-Air Missile,Helicopter,Fixed-Wing,High,15589.59,1246.48,470.53,167.23,0.91,0,None
Short-Range,Active,Surface-to-Air Missile,Fighter Jet,Quadcopter,High,16579.48,1071.54,353.75,192.39,0.28,1,Quadcopter
Medium-Range,Active,Anti-Air Missile,Fighter Jet,Quadcopter,Low,4281.28,1400.32,73.17,167.23,0.46,1,Fighter Jet
Long-Range,Active,Surface-to-Air Missile,Passenger Aircraft,Fixed-Wing,Medium,8136.22,645.57,314.26,305.55,0.7,1,Passenger Aircraft
Long-Range,Passive,Surface-to-Air Missile,Bombers,Hybrid Drone,Low,3967.04,842.26,401.91,48.27,0.11,1,Hybrid Drone
Short-Range,Hybrid,Anti-Air Missile,Drones,Hybrid Drone,Low,638.32,1359.11,150.29,227.06,0.54,1,Drones
Long-Range,Hybrid,Anti-Air Missile,Fighter Jet,Fixed-Wing,High,16482.11,879.26,333.22,141.05,0.45,1,Anti-Air Missile
Short-Range,Active,Surface-to-Air Missile,Drones,Fixed-Wing,Medium,17725.81,768.14,313.96,348.0,0.1,1,Drones
Short-Range,Passive,Cruise Missile,Drones,Fixed-Wing,High,1685.97,605.97,248.27,69.53,0.63,1,Cruise Missile
Medium-Range,Hybrid,Ballistic Missile,Bombers,Quadcopter,Low,6299.55,1221.44,248.29,136.66,0.99,1,Quadcopter
Medium-Range,Passive,Surface-to-Air Missile,Fighter Jet,Hybrid Drone,High,15664.88,1375.8,180.8,154.51,0.22,1,Fighter Jet
Long-Range,Hybrid,Ballistic Missile,Fighter Jet,Hybrid Drone,Medium,9805.14,1340.85,151.69,4.28,0.23,1,Ballistic Missile
Medium-Range,Passive,Anti-Air Missile,Helicopter,Quadcopter,Low,11688.76,791.83,197.87,250.91,0.76,1,Quadcopter
Short-Range,Active,Surface-to-Air Missile,Helicopter,Quadcopter,High,17621.05,1220.27,94.63,95.65,0.5,1,Helicopter
Long-Range,Active,Ballistic Missile,Fighter Jet,Quadcopter,High,2474.18,558.98,448.32,279.52,0.52,1,Fighter Jet
Short-Range,Active,Cruise Missile,Fighter Jet,Quadcopter,Low,7497.62,1363.7,381.98,70.24,0.55,1,Quadcopter
Medium-Range,Active,Cruise Missile,Helicopter,Hybrid Drone,Low,16908.04,233.58,245.66,9.15,0.54,1,Hybrid Drone
Medium-Range,Hybrid,Cruise Missile,Bombers,Fixed-Wing,High,3388.5,218.47,259.72,101.55,0.68,1,Bombers
Medium-Range,Passive,Ballistic Missile,Passenger Aircraft,Hybrid Drone,Medium,16488.72,1258.4,147.76,348.04,0.35,0,None
Short-Range,Hybrid,Ballistic Missile,Helicopter,Quadcopter,Low,9220.8,445.82,391.38,172.0,0.58,0,None
Short-Range,Active,Cruise Missile,Drones,Hybrid Drone,High,1142.32,1266.36,439.52,157.24,0.47,1,Cruise Missile
Medium-Range,Active,Cruise Missile,Fighter Jet,Fixed-Wing,High,19673.09,536.84,409.75,155.51,0.73,1,Cruise Missile
Short-Range,Active,Ballistic Missile,Fighter Jet,Quadcopter,High,16271.14,1000.4,92.17,269.74,0.26,1,Fighter Jet
Short-Range,Passive,Anti-Air Missile,Fighter Jet,Fixed-Wing,High,16693.33,522.4,281.46,8.91,0.39,1,Anti-Air Missile
Long-Range,Hybrid,Cruise Missile,Helicopter,Fixed-Wing,High,18835.59,790.32,96.15,300.24,0.73,0,None
Long-Range,Passive,Anti-Air Missile,Helicopter,Hybrid Drone,Medium,16768.48,1232.34,151.56,86.82,0.88,1,Hybrid Drone
Long-Range,Passive,Surface-to-Air Missile,Bombers,Quadcopter,Medium,11821.62,287.1,476.2,193.3,0.41,1,Bombers
Short-Range,Active,Anti-Air Missile,Bombers,Hybrid Drone,High,19210.33,576.4,164.13,19.82,0.56,1,Anti-Air Missile
Short-Range,Passive,Ballistic Missile,Helicopter,Quadcopter,High,9543.51,1337.33,421.77,70.03,0.3,1,Ballistic Missile
Long-Range,Active,Cruise Missile,Drones,Hybrid Drone,Low,12945.66,705.47,339.87,105.72,0.01,1,Drones
Medium-Range,Passive,Ballistic Missile,Helicopter,Fixed-Wing,Medium,18927.0,592.68,357.11,107.14,0.1,0,None
Long-Range,Hybrid,Cruise Missile,Bombers,Fixed-Wing,Medium,7431.1,1145.75,249.99,346.94,0.17,1,Cruise Missile
Long-Range,Passive,Anti-Air Missile,Helicopter,Quadcopter,Low,9447.96,555.81,128.27,108.85,0.79,1,Quadcopter
Long-Range,Passive,Ballistic Missile,Helicopter,Hybrid Drone,Low,1269.9,1475.0,389.41,238.03,0.93,1,Helicopter
Short-Range,Passive,Ballistic Missile,Helicopter,Hybrid Drone,Medium,17594.93,1285.59,84.73,118.51,0.98,1,Hybrid Drone
Short-Range,Active,Ballistic Missile,Helicopter,Hybrid Drone,Medium,16204.07,1333.35,225.34,311.74,0.7,1,Ballistic Missile
Long-Range,Active,Anti-Air Missile,Passenger Aircraft,Hybrid Drone,Medium,6894.71,1486.34,52.49,356.94,0.59,1,Anti-Air Missile
Short-Range,Passive,Cruise Missile,Helicopter,Fixed-Wing,Low,13222.05,1063.96,83.89,307.07,0.42,1,Fixed-Wing
Short-Range,Passive,Ballistic Missile,Fighter Jet,Fixed-Wing,High,17317.0,1178.26,88.46,99.45,0.13,1,Fixed-Wing
Short-Range,Active,Ballistic Missile,Drones,Quadcopter,Low,3792.82,1043.05,162.3,93.43,0.0,1,Drones
Short-Range,Passive,Surface-to-Air Missile,Passenger Aircraft,Quadcopter,Low,9340.81,1019.95,421.27,257.79,0.35,1,Quadcopter
Long-Range,Hybrid,Cruise Missile,Bombers,Fixed-Wing,High,5935.82,723.66,399.96,287.95,0.27,0,None
Long-Range,Active,Ballistic Missile,Helicopter,Fixed-Wing,Medium,1410.9,201.46,106.02,239.86,0.44,1,Helicopter
Medium-Range,Active,Anti-Air Missile,Bombers,Fixed-Wing,Medium,14488.26,937.18,459.36,0.09,0.42,1,Fixed-Wing
Long-Range,Hybrid,Ballistic Missile,Helicopter,Hybrid Drone,Low,3455.21,804.11,118.52,256.94,0.68,1,Hybrid Drone
Medium-Range,Passive,Ballistic Missile,Drones,Hybrid Drone,Low,10348.22,1217.35,182.24,331.76,0.7,1,Hybrid Drone
Short-Range,Passive,Anti-Air Missile,Helicopter,Quadcopter,Low,15662.73,789.56,382.85,103.25,0.85,1,Helicopter
Short-Range,Hybrid,Ballistic Missile,Passenger Aircraft,Quadcopter,Low,18411.92,499.24,223.28,11.0,0.05,1,Ballistic Missile
Medium-Range,Active,Surface-to-Air Missile,Passenger Aircraft,Hybrid Drone,Low,6177.95,916.17,403.09,95.94,0.72,0,None
Medium-Range,Hybrid,Cruise Missile,Passenger Aircraft,Quadcopter,High,13415.27,1129.45,267.35,32.7,0.7,1,Quadcopter
Medium-Range,Hybrid,Surface-to-Air Missile,Passenger Aircraft,Fixed-Wing,Medium,4630.16,853.07,67.15,20.71,0.67,0,None
Long-Range,Hybrid,Surface-to-Air Missile,Fighter Jet,Quadcopter,High,17723.4,270.76,460.98,290.81,0.83,1,Fighter Jet
Short-Range,Passive,Ballistic Missile,Bombers,Quadcopter,Medium,8492.36,529.53,420.48,159.43,0.54,1,Ballistic Missile
Short-Range,Hybrid,Surface-to-Air Missile,Passenger Aircraft,Fixed-Wing,Medium,15619.94,497.95,328.65,248.41,0.84,1,Passenger Aircraft
Long-Range,Hybrid,Anti-Air Missile,Drones,Quadcopter,High,5595.39,543.57,144.0,60.55,0.16,1,Anti-Air Missile
Short-Range,Passive,Ballistic Missile,Bombers,Hybrid Drone,Medium,3289.38,1410.95,319.1,235.79,0.42,0,None
Short-Range,Passive,Cruise Missile,Helicopter,Fixed-Wing,Low,9613.7,268.54,182.56,314.68,0.25,1,Fixed-Wing
Long-Range,Passive,Cruise Missile,Drones,Fixed-Wing,High,3815.84,1418.31,294.56,105.48,0.43,0,None
Short-Range,Passive,Ballistic Missile,Fighter Jet,Quadcopter,Medium,7788.17,1418.35,469.44,270.72,0.32,1,Fighter Jet
Medium-Range,Active,Cruise Missile,Drones,Quadcopter,Medium,10481.66,1126.6,110.23,115.73,0.27,0,None
Medium-Range,Active,Surface-to-Air Missile,Bombers,Quadcopter,Medium,3226.48,954.47,201.57,60.46,0.06,0,None
Long-Range,Active,Surface-to-Air Missile,Passenger Aircraft,Fixed-Wing,Low,10098.12,986.36,118.69,318.06,0.14,1,Fixed-Wing
Long-Range,Active,Surface-to-Air Missile,Bombers,Quadcopter,Medium,13940.27,899.77,89.5,4.65,0.71,1,Surface-to-Air Missile
Short-Range,Passive,Surface-to-Air Missile,Passenger Aircraft,Hybrid Drone,Low,8801.56,725.79,121.49,134.43,0.29,1,Surface-to-Air Missile
Medium-Range,Passive,Anti-Air Missile,Drones,Hybrid Drone,Medium,11557.99,906.87,423.12,205.15,0.07,1,Anti-Air Missile
Medium-Range,Hybrid,Anti-Air Missile,Fighter Jet,Hybrid Drone,Medium,19146.18,308.27,372.76,235.27,0.45,1,Hybrid Drone
Medium-Range,Passive,Ballistic Missile,Fighter Jet,Quadcopter,Low,15637.13,1129.86,416.2,203.04,0.09,1,Quadcopter
Medium-Range,Hybrid,Anti-Air Missile,Fighter Jet,Hybrid Drone,Low,13928.78,612.43,246.28,226.35,0.79,1,Hybrid Drone
Long-Range,Active,Ballistic Missile,Fighter Jet,Fixed-Wing,Low,7686.77,806.43,191.31,145.19,0.84,1,Fixed-Wing
Long-Range,Active,Surface-to-Air Missile,Bombers,Quadcopter,Medium,6381.9,663.89,454.31,266.44,0.17,1,Surface-to-Air Missile
Long-Range,Hybrid,Ballistic Missile,Bombers,Quadcopter,High,11141.01,236.59,99.8,64.43,0.68,0,None
Medium-Range,Active,Anti-Air Missile,Passenger Aircraft,Quadcopter,Low,13174.96,1452.32,117.82,20.85,0.89,1,Passenger Aircraft
Medium-Range,Passive,Surface-to-Air Missile,Drones,Fixed-Wing,Medium,13949.14,1419.2,221.58,322.75,0.94,1,Drones
Long-Range,Hybrid,Anti-Air Missile,Drones,Hybrid Drone,Low,12391.34,393.94,107.29,232.71,0.01,1,Hybrid Drone
Short-Range,Hybrid,Cruise Missile,Passenger Aircraft,Hybrid Drone,Low,17431.06,1193.61,72.95,153.45,0.15,1,Cruise Missile
Short-Range,Passive,Anti-Air Missile,Helicopter,Hybrid Drone,Medium,3982.78,1077.07,157.72,124.71,0.81,0,None
Medium-Range,Hybrid,Anti-Air Missile,Drones,Quadcopter,High,19850.23,1085.0,236.02,162.07,0.09,1,Drones
Long-Range,Active,Anti-Air Missile,Fighter Jet,Hybrid Drone,High,7399.84,1272.79,145.99,7.48,0.39,1,Anti-Air Missile
Short-Range,Passive,Cruise Missile,Drones,Quadcopter,Medium,8932.57,1154.4,137.54,15.02,0.7,1,Drones
Short-Range,Active,Surface-to-Air Missile,Drones,Fixed-Wing,Medium,3022.02,974.36,302.14,92.77,0.29,0,None
Medium-Range,Hybrid,Ballistic Missile,Helicopter,Fixed-Wing,Low,10667.01,460.09,489.76,217.89,0.03,1,Fixed-Wing
Long-Range,Active,Cruise Missile,Drones,Fixed-Wing,Low,4530.73,295.75,470.31,230.15,0.83,1,Cruise Missile
Medium-Range,Active,Cruise Missile,Bombers,Hybrid Drone,High,908.22,435.2,355.1,108.33,0.51,1,Cruise Missile
Medium-Range,Hybrid,Ballistic Missile,Helicopter,Quadcopter,Low,10201.46,559.49,351.96,165.38,0.89,1,Ballistic Missile
Short-Range,Hybrid,Surface-to-Air Missile,Helicopter,Hybrid Drone,Low,16021.81,818.39,90.59,130.89,0.87,1,Surface-to-Air Missile
Medium-Range,Hybrid,Anti-Air Missile,Passenger Aircraft,Fixed-Wing,Low,5361.62,753.01,247.11,65.04,0.5,1,Passenger Aircraft
Short-Range,Hybrid,Cruise Missile,Drones,Fixed-Wing,Medium,10290.53,352.34,385.94,37.74,0.65,0,None
Short-Range,Passive,Cruise Missile,Fighter Jet,Hybrid Drone,High,7073.0,664.59,246.66,20.05,0.1,1,Cruise Missile
Short-Range,Passive,Ballistic Missile,Drones,Quadcopter,Low,13252.48,563.4,407.07,102.12,0.63,1,Quadcopter
Long-Range,Hybrid,Cruise Missile,Helicopter,Quadcopter,High,12818.3,1260.62,88.09,10.5,0.55,0,None
Medium-Range,Hybrid,Cruise Missile,Fighter Jet,Hybrid Drone,Low,14324.49,523.55,145.56,17.74,0.44,1,Hybrid Drone
Long-Range,Passive,Ballistic Missile,Helicopter,Quadcopter,High,14515.49,1315.08,192.85,47.94,0.19,1,Quadcopter
Short-Range,Passive,Cruise Missile,Drones,Quadcopter,Medium,13147.54,234.48,248.34,239.53,0.88,1,Drones
Long-Range,Hybrid,Ballistic Missile,Helicopter,Hybrid Drone,Low,8863.1,687.17,410.59,35.8,1.0,1,Ballistic Missile
Long-Range,Hybrid,Surface-to-Air Missile,Helicopter,Quadcopter,Low,15492.08,1273.95,159.27,203.5,0.16,1,Quadcopter
Medium-Range,Passive,Ballistic Missile,Fighter Jet,Quadcopter,Medium,6731.85,888.9,299.22,5.48,0.27,1,Fighter Jet
Medium-Range,Passive,Cruise Missile,Helicopter,Quadcopter,Medium,759.0,201.08,173.65,51.13,0.04,1,Helicopter
Medium-Range,Passive,Surface-to-Air Missile,Fighter Jet,Hybrid Drone,Low,1127.38,977.04,378.18,73.25,0.67,1,Surface-to-Air Missile
Long-Range,Active,Surface-to-Air Missile,Helicopter,Quadcopter,Low,14176.97,1344.93,353.73,92.26,0.65,0,None
Short-Range,Hybrid,Ballistic Missile,Fighter Jet,Fixed-Wing,High,5902.65,398.26,425.27,351.73,0.09,1,Fighter Jet
Medium-Range,Hybrid,Surface-to-Air Missile,Fighter Jet,Fixed-Wing,Low,15509.09,415.68,209.14,305.07,0.29,1,Surface-to-Air Missile
Short-Range,Passive,Cruise Missile,Passenger Aircraft,Fixed-Wing,High,8023.23,445.9,331.61,354.1,0.94,1,Fixed-Wing
Medium-Range,Passive,Surface-to-Air Missile,Helicopter,Fixed-Wing,Low,808.29,655.49,243.43,19.2,0.69,0,None
Short-Range,Passive,Cruise Missile,Drones,Quadcopter,Medium,12957.5,1137.1,70.49,79.21,0.01,1,Quadcopter
Medium-Range,Hybrid,Ballistic Missile,Fighter Jet,Hybrid Drone,Low,10666.98,668.34,203.93,314.05,0.09,1,Fighter Jet
Short-Range,Active,Ballistic Missile,Drones,Fixed-Wing,Low,7996.82,829.64,365.9,87.96,0.29,1,Fixed-Wing
Medium-Range,Active,Ballistic Missile,Bombers,Quadcopter,Medium,12911.9,669.67,414.74,35.27,0.1,1,Bombers
Short-Range,Passive,Ballistic Missile,Fighter Jet,Fixed-Wing,Medium,9632.74,1189.69,467.87,152.77,0.13,1,Fixed-Wing
Long-Range,Active,Surface-to-Air Missile,Bombers,Quadcopter,High,16206.7,777.17,69.15,4.65,0.51,0,None
Short-Range,Active,Ballistic Missile,Bombers,Quadcopter,High,845.72,1328.55,436.14,153.52,0.27,1,Bombers
Long-Range,Active,Ballistic Missile,Fighter Jet,Quadcopter,High,8433.94,1224.46,410.24,239.53,0.31,0,None
Long-Range,Passive,Anti-Air Missile,Fighter Jet,Fixed-Wing,Low,10282.59,232.2,417.01,304.27,0.21,1,Fighter Jet
Short-Range,Active,Cruise Missile,Helicopter,Fixed-Wing,Low,5260.22,1283.83,254.28,264.37,0.36,1,Helicopter
Long-Range,Passive,Ballistic Missile,Fighter Jet,Quadcopter,Low,4001.51,288.24,459.78,335.84,0.72,1,Quadcopter
Medium-Range,Hybrid,Surface-to-Air Missile,Fighter Jet,Quadcopter,Low,8337.49,1048.3,429.56,163.75,0.38,1,Fighter Jet
Medium-Range,Active,Surface-to-Air Missile,Passenger Aircraft,Quadcopter,Low,6052.33,517.25,476.65,47.68,0.09,1,Passenger Aircraft
Long-Range,Passive,Surface-to-Air Missile,Bombers,Quadcopter,Medium,1041.69,961.22,346.09,347.17,0.88,1,Quadcopter
Short-Range,Passive,Surface-to-Air Missile,Helicopter,Hybrid Drone,Low,11529.97,919.81,336.5,94.18,0.72,1,Hybrid Drone
Medium-Range,Hybrid,Anti-Air Missile,Drones,Fixed-Wing,High,4075.24,362.61,116.64,8.98,0.13,1,Fixed-Wing
Long-Range,Active,Anti-Air Missile,Bombers,Quadcopter,Low,19117.02,914.36,206.32,184.02,0.39,1,Anti-Air Missile
Long-Range,Active,Cruise Missile,Passenger Aircraft,Fixed-Wing,High,7209.16,597.57,111.41,336.19,0.69,1,Cruise Missile
Short-Range,Hybrid,Anti-Air Missile,Bombers,Hybrid Drone,Medium,7197.15,375.33,124.56,126.01,0.39,1,Anti-Air Missile
Medium-Range,Passive,Cruise Missile,Passenger Aircraft,Hybrid Drone,High,16098.66,826.84,314.25,29.15,0.75,1,Hybrid Drone
Long-Range,Active,Ballistic Missile,Passenger Aircraft,Quadcopter,Low,15280.26,1044.42,285.09,225.19,0.43,1,Passenger Aircraft
Long-Range,Passive,Ballistic Missile,Fighter Jet,Fixed-Wing,Low,11007.23,840.36,167.45,287.04,0.26,1,Fixed-Wing
Medium-Range,Passive,Cruise Missile,Helicopter,Quadcopter,Low,14704.52,1010.09,135.14,333.95,0.54,1,Helicopter
Short-Range,Passive,Ballistic Missile,Bombers,Hybrid Drone,High,5348.7,252.88,322.97,295.13,0.85,1,Hybrid Drone
Short-Range,Passive,Anti-Air Missile,Drones,Fixed-Wing,Medium,16452.23,550.03,144.46,244.26,0.99,1,Anti-Air Missile
Medium-Range,Active,Ballistic Missile,Helicopter,Fixed-Wing,Low,6071.13,531.3,366.41,142.21,0.79,1,Fixed-Wing
Long-Range,Passive,Anti-Air Missile,Fighter Jet,Quadcopter,High,15231.43,1114.42,402.83,307.17,0.54,1,Quadcopter
Short-Range,Hybrid,Anti-Air Missile,Helicopter,Hybrid Drone,Low,6208.28,1304.22,86.95,48.9,0.44,1,Hybrid Drone
Medium-Range,Passive,Anti-Air Missile,Drones,Fixed-Wing,Medium,9133.52,1431.91,131.49,187.14,0.1,0,None
Long-Range,Active,Ballistic Missile,Bombers,Fixed-Wing,Medium,3607.72,445.99,104.65,306.8,0.61,1,Bombers
Long-Range,Passive,Anti-Air Missile,Helicopter,Quadcopter,Low,7423.12,1309.95,497.07,273.1,0.04,1,Quadcopter
Medium-Range,Hybrid,Anti-Air Missile,Fighter Jet,Quadcopter,Medium,10618.56,1267.95,347.35,349.27,0.53,1,Fighter Jet
Short-Range,Hybrid,Cruise Missile,Helicopter,Fixed-Wing,High,1657.3,338.04,73.5,170.18,0.91,1,Cruise Missile
Short-Range,Active,Cruise Missile,Fighter Jet,Fixed-Wing,High,16358.59,1070.89,411.12,327.02,0.22,1,Fighter Jet
Medium-Range,Passive,Cruise Missile,Helicopter,Fixed-Wing,High,3326.36,1107.54,422.21,10.98,1.0,1,Cruise Missile
Short-Range,Hybrid,Cruise Missile,Fighter Jet,Quadcopter,Low,17880.25,805.32,486.11,352.58,0.24,0,None
Medium-Range,Active,Surface-to-Air Missile,Passenger Aircraft,Fixed-Wing,Low,12872.58,1364.42,406.64,232.05,0.96,1,Passenger Aircraft
Long-Range,Hybrid,Cruise Missile,Helicopter,Hybrid Drone,Low,11081.08,1413.05,337.23,354.44,0.87,0,None
Long-Range,Hybrid,Ballistic Missile,Fighter Jet,Quadcopter,Low,5788.71,1028.74,190.33,350.16,0.07,1,Quadcopter
Long-Range,Active,Surface-to-Air Missile,Passenger Aircraft,Hybrid Drone,Medium,777.74,1064.22,370.81,38.45,0.17,1,Passenger Aircraft
Short-Range,Passive,Surface-to-Air Missile,Helicopter,Hybrid Drone,Medium,12508.3,1236.45,474.02,218.72,0.06,1,Surface-to-Air Missile
Long-Range,Active,Anti-Air Missile,Bombers,Hybrid Drone,Low,4448.94,1015.24,308.8,217.9,0.15,1,Hybrid Drone
Short-Range,Passive,Cruise Missile,Passenger Aircraft,Fixed-Wing,High,18037.7,799.36,157.48,359.67,0.69,1,Fixed-Wing
Short-Range,Passive,Cruise Missile,Passenger Aircraft,Fixed-Wing,High,7515.38,1301.49,364.64,168.13,0.77,0,None
Long-Range,Active,Anti-Air Missile,Fighter Jet,Fixed-Wing,High,1909.3,1278.78,95.58,218.9,0.13,1,Fighter Jet
Medium-Range,Hybrid,Surface-to-Air Missile,Passenger Aircraft,Quadcopter,High,19878.6,875.63,349.76,86.88,0.89,1,Quadcopter
Medium-Range,Active,Cruise Missile,Helicopter,Quadcopter,Low,14248.37,1311.25,221.11,19.03,0.44,0,None
Medium-Range,Passive,Surface-to-Air Missile,Passenger Aircraft,Hybrid Drone,High,3002.58,389.97,486.98,98.28,0.55,1,Passenger Aircraft
Medium-Range,Active,Ballistic Missile,Passenger Aircraft,Fixed-Wing,Low,15832.54,573.28,493.1,359.26,0.8,1,Fixed-Wing
Medium-Range,Active,Cruise Missile,Drones,Fixed-Wing,Medium,17934.96,313.08,98.79,143.1,0.02,1,Cruise Missile
Long-Range,Hybrid,Ballistic Missile,Passenger Aircraft,Hybrid Drone,Low,5752.38,1193.63,487.4,264.67,0.16,1,Ballistic Missile
Short-Range,Active,Ballistic Missile,Helicopter,Quadcopter,High,10433.26,1391.43,330.41,266.97,0.92,1,Quadcopter
Medium-Range,Active,Ballistic Missile,Passenger Aircraft,Quadcopter,Medium,13692.33,730.57,411.28,235.07,0.63,1,Passenger Aircraft
Long-Range,Active,Surface-to-Air Missile,Passenger Aircraft,Hybrid Drone,High,14049.5,1466.1,397.06,103.41,0.49,1,Hybrid Drone
Short-Range,Passive,Ballistic Missile,Bombers,Quadcopter,Medium,10510.05,1099.17,230.19,185.19,0.82,1,Quadcopter
Long-Range,Active,Ballistic Missile,Helicopter,Quadcopter,High,9554.56,625.38,202.92,330.92,0.49,1,Helicopter
Medium-Range,Active,Anti-Air Missile,Drones,Hybrid Drone,High,15776.71,570.07,164.65,312.15,0.49,1,Anti-Air Missile
Long-Range,Passive,Surface-to-Air Missile,Helicopter,Hybrid Drone,Low,5557.29,220.17,369.44,255.44,0.14,1,Hybrid Drone
Long-Range,Hybrid,Anti-Air Missile,Passenger Aircraft,Hybrid Drone,Low,8651.65,268.17,115.58,245.58,0.21,0,None
Medium-Range,Active,Surface-to-Air Missile,Passenger Aircraft,Quadcopter,Medium,13190.43,207.81,349.65,21.38,0.13,1,Surface-to-Air Missile
Medium-Range,Active,Cruise Missile,Helicopter,Fixed-Wing,Medium,3876.73,327.08,289.26,96.93,0.55,0,None
Medium-Range,Hybrid,Cruise Missile,Helicopter,Quadcopter,Medium,15397.73,756.2,421.63,268.29,0.73,1,Cruise Missile
Short-Range,Hybrid,Surface-to-Air Missile,Passenger Aircraft,Quadcopter,Low,16340.18,1348.46,200.24,255.72,0.94,0,None
Medium-Range,Passive,Surface-to-Air Missile,Helicopter,Fixed-Wing,Medium,16598.52,1062.57,499.47,0.84,0.26,0,None
Long-Range,Active,Anti-Air Missile,Fighter Jet,Fixed-Wing,Medium,7101.46,1123.98,97.46,81.14,0.71,1,Anti-Air Missile
Short-Range,Passive,Surface-to-Air Missile,Fighter Jet,Hybrid Drone,High,10903.62,210.96,98.9,31.98,0.03,1,Fighter Jet
Long-Range,Hybrid,Ballistic Missile,Passenger Aircraft,Hybrid Drone,High,18753.64,1242.5,217.58,135.53,0.89,1,Hybrid Drone
Medium-Range,Passive,Surface-to-Air Missile,Bombers,Hybrid Drone,High,1632.58,1257.64,427.01,227.68,0.34,0,None
Short-Range,Hybrid,Cruise Missile,Helicopter,Hybrid Drone,Medium,626.38,1156.17,333.54,17.95,0.18,1,Helicopter
Medium-Range,Active,Ballistic Missile,Drones,Fixed-Wing,Medium,12941.44,277.1,295.01,256.98,0.52,1,Fixed-Wing
Long-Range,Hybrid,Ballistic Missile,Helicopter,Quadcopter,High,1408.83,779.97,53.31,74.06,0.65,1,Ballistic Missile
Short-Range,Passive,Anti-Air Missile,Passenger Aircraft,Quadcopter,Medium,9298.29,1480.39,431.44,140.94,0.3,1,Quadcopter
Long-Range,Passive,Cruise Missile,Drones,Fixed-Wing,Medium,16073.76,1390.67,478.35,23.02,0.65,0,None
Long-Range,Passive,Ballistic Missile,Drones,Quadcopter,Medium,5617.43,560.39,443.95,83.83,0.8,0,None
Medium-Range,Active,Cruise Missile,Passenger Aircraft,Fixed-Wing,Medium,15600.05,490.43,372.3,40.07,0.19,1,Fixed-Wing
Long-Range,Active,Anti-Air Missile,Drones,Hybrid Drone,Low,8170.25,386.06,310.63,203.03,0.62,0,None
Short-Range,Hybrid,Ballistic Missile,Drones,Fixed-Wing,High,18732.87,1492.63,101.43,206.0,0.98,1,Fixed-Wing
Short-Range,Hybrid,Cruise Missile,Helicopter,Fixed-Wing,High,12124.59,902.73,117.64,69.31,0.85,1,Fixed-Wing
Short-Range,Passive,Cruise Missile,Helicopter,Fixed-Wing,Low,6975.51,1088.57,256.47,195.66,0.12,1,Helicopter
Medium-Range,Passive,Ballistic Missile,Drones,Quadcopter,Medium,4027.61,1238.91,87.17,349.61,0.2,1,Ballistic Missile
Long-Range,Passive,Surface-to-Air Missile,Bombers,Fixed-Wing,Medium,10010.81,1434.45,253.86,23.43,0.36,1,Bombers
Medium-Range,Hybrid,Cruise Missile,Passenger Aircraft,Fixed-Wing,High,4366.38,431.6,89.11,295.53,0.04,1,Passenger Aircraft
Short-Range,Hybrid,Ballistic Missile,Drones,Hybrid Drone,Low,930.12,1319.04,164.53,32.76,0.47,1,Drones
Long-Range,Active,Surface-to-Air Missile,Fighter Jet,Hybrid Drone,Low,11013.01,864.13,65.66,296.08,0.94,0,None
Medium-Range,Passive,Ballistic Missile,Passenger Aircraft,Hybrid Drone,Medium,7860.9,296.78,116.21,127.63,0.27,0,None
Short-Range,Passive,Surface-to-Air Missile,Helicopter,Quadcopter,Low,16391.14,393.22,442.77,171.35,0.82,0,None
Medium-Range,Hybrid,Cruise Missile,Helicopter,Quadcopter,High,8118.39,1248.78,414.18,327.06,0.31,1,Helicopter
Long-Range,Active,Surface-to-Air Missile,Fighter Jet,Quadcopter,High,10566.1,669.64,260.81,338.9,0.51,1,Surface-to-Air Missile
Medium-Range,Hybrid,Surface-to-Air Missile,Passenger Aircraft,Hybrid Drone,Low,18457.18,1145.97,487.2,302.1,0.7,1,Surface-to-Air Missile
Medium-Range,Active,Surface-to-Air Missile,Fighter Jet,Quadcopter,Low,16208.55,580.46,171.08,210.94,0.67,0,None
Medium-Range,Passive,Anti-Air Missile,Drones,Quadcopter,Medium,6067.72,263.7,188.54,228.65,0.14,1,Quadcopter
Long-Range,Active,Surface-to-Air Missile,Drones,Quadcopter,Low,10370.38,1086.02,131.53,15.53,0.28,1,Drones
